event_id,event_time,user_id,session_id,page_type,product_id,campaign_id,device,browser,session_duration_seconds
61,2023-07-18T01:22:47,,session_68581,search,,,tablet,Samsung Internet,67
62,2020-10-21T07:50:13,,session_31213,home,,,,,1100
63,2023-07-30T09:38:49,4692,session_52354,search,,,desktop,Edge,679
64,2023-10-02T16:25:33,,session_99027,category,,,mobile,Firefox,1049
65,2022-08-29T01:44:05,,session_30228,home,,,,,1347
66,2020-07-03T09:36:55,,session_41239,category,,,tablet,Chrome,520
67,2020-02-02T08:11:23,,session_74163,account,,,desktop,Firefox,1687
68,2024-02-17T09:00:21,2590,session_49568,search,,,tablet,Safari,126
69,2023-09-02T19:27:00,,session_60822,product_detail,2,,,,1751
70,2021-09-11T14:09:49,4715,session_52875,product_detail,33,752,mobile,Chrome,285
71,2021-07-30T13:41:02,,session_14721,product_detail,30,451,mobile,Samsung Internet,1206
72,2024-01-19T10:10:21,,session_20756,cart,,,mobile,Edge,1077
73,2022-06-14T04:55:27,,session_19531,home,,,tablet,Safari,467
74,2023-03-12T05:45:35,,session_90773,account,,,mobile,Edge,122
75,2020-10-31T10:57:49,,session_4909,account,,,desktop,Samsung Internet,1729
76,2024-12-30T10:15:53,1473,session_62988,checkout,,,mobile,Edge,739
77,2023-04-09T18:24:59,4613,session_86115,category,,,desktop,Edge,540
78,2022-05-09T13:31:23,1915,session_2793,checkout,,,tablet,Firefox,252
79,2021-11-06T05:06:45,,session_67043,home,,,tablet,Chrome,419
80,2030-01-01T00:00:00,,session_48875,account,,,desktop,Firefox,835
81,2020-02-26T08:07:30,,session_76979,cart,,,desktop,Samsung Internet,1410
82,2020-06-19T12:05:02,,session_17200,home,,,mobile,Chrome,881
83,2023-12-07T12:35:17,,session_76746,account,,,desktop,Firefox,1522
84,2022-09-07T02:32:08,,session_65951,checkout,,,mobile,Chrome,777
85,2022-03-07T12:02:20,,session_42901,product_detail,53,,tablet,Samsung Internet,228
86,2021-02-12T13:19:14,,session_19799,home,,,tablet,Chrome,1501
87,2024-05-11T20:41:26,,session_62503,home,,,mobile,Edge,473
88,2024-09-07T10:24:17,1125,session_99731,account,,,mobile,Firefox,659
89,2024-04-24T05:07:07,2291,session_99331,account,,,desktop,Safari,691
90,2024-05-04T15:58:58,,session_41489,search,,,desktop,Chrome,1718
91,2023-10-04T21:31:19,299,session_76830,cart,,,tablet,Safari,230
92,2022-01-10T15:58:07,,session_71107,checkout,,,tablet,Edge,252
93,2022-12-08T06:09:21,1864,session_80743,account,,,mobile,Firefox,1558
94,2022-10-05T08:58:19,,session_30295,category,,,mobile,Samsung Internet,985
95,2020-09-02T04:53:19,3036,session_33760,cart,,,mobile,Firefox,1769
96,2021-08-24T08:08:42,,session_67267,account,,,tablet,Samsung Internet,1561
97,2023-03-23T19:58:13,,session_36493,account,,,desktop,Samsung Internet,1088
98,2024-03-13T07:13:54,,session_55099,home,,,mobile,Samsung Internet,1085
99,2020-02-14T17:21:53,,session_67903,cart,,,tablet,Samsung Internet,776
100,2022-09-17T07:58:53,602,session_38535,account,,,tablet,Safari,1638
101,2024-11-04T07:39:09,,session_12537,account,,,,,602
102,2020-11-10T15:40:45,,session_35843,product_detail,27,156,mobile,Samsung Internet,228
103,2022-10-28T07:59:44,3435,session_75526,search,,,tablet,Safari,220
104,2023-12-02T20:19:06,470,session_27042,category,,,desktop,Firefox,116
105,2022-04-05T07:56:49,2257,session_40492,category,,,mobile,Samsung Internet,1161
106,2024-12-18T17:16:34,1378,session_46474,account,,,desktop,Chrome,215
107,2022-11-15T17:24:02,257,session_77689,category,,,desktop,Edge,1610
108,2021-04-23T04:49:15,,session_70570,search,,,tablet,Samsung Internet,418
109,2021-01-22T00:51:44,,session_88152,checkout,,,tablet,Chrome,992
110,2021-06-01T09:33:13,,session_17790,cart,,,mobile,Safari,62
111,2022-09-29T05:41:02,,session_74154,search,,,desktop,Edge,944
112,2023-05-30T06:31:22,,session_51032,home,,,mobile,Edge,412
113,2021-07-17T10:49:33,,session_72309,search,,,tablet,Safari,842
114,2024-08-29T18:56:19,3584,session_68584,cart,,,mobile,Firefox,1730
115,2023-05-08T22:13:35,,session_86587,category,,,desktop,Firefox,417
116,2023-12-09T03:45:02,,session_40580,cart,,,mobile,Edge,1119
117,2020-05-31T18:36:39,,session_88098,home,,,desktop,Firefox,1280
118,2021-02-11T10:29:34,,session_36358,cart,,,desktop,Samsung Internet,1781
119,2022-07-07T05:20:44,1202,session_93687,category,,,tablet,Firefox,1762
120,2020-05-11T09:47:58,,session_33007,product_detail,59,,tablet,Firefox,1194
121,2023-10-10T03:38:27,,session_81069,product_detail,4,365,desktop,Safari,1665
122,2023-07-22T10:33:14,2024,session_3439,category,,,mobile,Firefox,823
123,2022-11-09T00:49:07,4966,session_30650,account,,,desktop,Safari,272
124,2021-04-12T06:51:45,,session_42597,product_detail,32,,tablet,Edge,1610
125,2022-08-05T20:05:20,,session_63267,checkout,,,mobile,Safari,400
126,2024-09-16T11:30:16,2498,session_90588,category,,,tablet,Edge,1104
127,2020-03-22T07:31:11,,session_30189,cart,,,mobile,Firefox,289
128,2023-02-11T16:47:44,,session_12022,category,,,tablet,Chrome,351
129,2023-11-12T03:46:07,,session_25223,cart,,,mobile,Chrome,1725
130,2020-05-08T00:23:44,,session_75163,cart,,,tablet,Chrome,490
131,2023-01-09T11:36:30,396,session_74700,account,,,,,66
132,2021-03-15T00:00:53,2293,session_84463,cart,,,mobile,Edge,64
133,2022-01-21T05:05:59,,session_95003,category,,,tablet,Firefox,1449
134,2022-03-13T08:21:32,,session_94263,checkout,,,mobile,Edge,908
135,2030-01-01T00:00:00,,session_21760,home,,,tablet,Firefox,1270
136,2022-06-13T02:27:24,,session_13461,checkout,,,mobile,Firefox,780
137,2022-03-23T08:10:38,,session_7129,checkout,,,mobile,Edge,374
138,2023-10-12T07:10:50,2469,session_57121,product_detail,36,418,tablet,Chrome,549
139,2023-11-29T13:34:07,,session_76917,home,,,tablet,Samsung Internet,890
140,2021-07-23T21:28:22,,session_58389,home,,,mobile,Firefox,182
141,2023-04-02T03:07:04,1699,session_31717,checkout,,,tablet,Chrome,538
142,2024-08-05T08:11:09,2715,session_29165,account,,,desktop,Firefox,1492
143,2023-02-21T14:48:25,889,session_69579,search,,,mobile,Safari,1074
144,2024-11-11T04:37:44,2546,session_69623,search,,,mobile,Samsung Internet,1191
145,2021-01-01T09:25:16,,session_14601,account,,,mobile,Firefox,1349
146,2023-01-16T01:23:01,4470,session_28077,home,,,mobile,Safari,702
147,2024-03-04T05:12:44,,session_2453,account,,,tablet,Safari,502
148,2022-10-10T04:13:31,3352,session_88504,search,,,tablet,Edge,1276
149,2024-07-06T18:12:15,,session_25192,product_detail,37,1043,mobile,Chrome,1590
150,2023-03-19T22:01:02,1845,session_57093,checkout,,,mobile,Samsung Internet,545
151,2030-01-01T00:00:00,,session_45778,account,,,mobile,Safari,1327
152,2022-04-08T16:03:54,,session_57591,account,,,mobile,Edge,-482
153,2022-10-29T06:53:53,,session_70294,checkout,,,,,1464
154,2020-12-29T05:06:41,,session_63203,product_detail,11,350,tablet,Chrome,877
155,2020-05-22T01:18:54,,session_48668,category,,,tablet,Firefox,1491
156,2024-12-24T20:46:48,,session_46976,search,,,,,1358
157,2023-12-19T22:24:50,327,session_27045,product_detail,22,,mobile,Chrome,1205
158,2021-02-17T16:14:07,,session_66669,checkout,,,desktop,Safari,1037
159,2024-07-25T13:06:20,4691,session_34771,account,,,tablet,Samsung Internet,766
160,2023-09-16T00:14:36,1902,session_80873,checkout,,,mobile,Safari,540
161,2024-03-01T09:14:25,2651,session_88491,checkout,,,tablet,Firefox,777
162,2020-11-28T14:33:59,,session_69363,category,,,mobile,Chrome,1580
163,2022-07-09T19:55:21,,session_48965,checkout,,,desktop,Samsung Internet,64
164,2020-10-03T20:54:32,2392,session_31710,category,,,desktop,Safari,1490
165,2022-06-25T17:53:19,,session_62445,cart,,,desktop,Samsung Internet,94
166,2020-03-03T02:46:33,,session_6478,home,,,desktop,Safari,665
167,2020-03-02T19:15:22,,session_42942,cart,,,mobile,Firefox,1395
168,2020-02-07T12:44:18,,session_69961,category,,,tablet,Safari,1211
169,2020-06-24T21:51:04,2562,session_20572,account,,,tablet,Samsung Internet,1108
170,2020-01-17T12:28:00,,session_5963,account,,,desktop,Edge,332
171,2020-05-10T08:28:56,,session_42422,home,,,tablet,Samsung Internet,374
172,2021-08-20T20:02:26,,session_37545,cart,,,tablet,Safari,227
173,2020-11-09T19:12:02,,session_7092,home,,,tablet,Samsung Internet,1441
174,2020-10-22T00:05:09,,session_87330,cart,,,tablet,Edge,728
175,2024-08-27T12:03:00,,session_4520,search,,,tablet,Firefox,814
176,2020-10-29T21:05:51,,session_86215,search,,,desktop,Safari,1471
177,2023-05-22T08:51:24,,session_32220,home,,,tablet,Safari,804
178,2022-03-28T14:41:56,,session_41815,search,,,mobile,Chrome,669
179,2020-05-04T09:19:59,,session_48501,checkout,,,desktop,Firefox,90
180,2022-04-16T17:16:34,,session_62745,account,,,tablet,Safari,-646
181,2024-02-04T19:00:15,4473,session_11422,account,,,desktop,Samsung Internet,558
182,2022-04-12T05:09:45,3332,session_11783,product_detail,6,,mobile,Chrome,621
183,2023-10-01T22:03:37,,session_13453,category,,,desktop,Samsung Internet,1563
184,2024-03-22T07:25:24,1041,session_68594,account,,,desktop,Samsung Internet,419
185,2023-04-18T08:56:48,,session_96246,checkout,,,mobile,Firefox,985
186,2023-05-25T18:58:15,,session_89644,account,,,tablet,Edge,758
187,2020-05-23T09:58:13,,session_92508,category,,,desktop,Chrome,64
188,2024-02-10T13:57:28,2782,session_45565,home,,,mobile,Chrome,233
189,2024-02-22T17:41:57,496,session_98795,checkout,,,tablet,Chrome,636
190,2020-11-07T00:43:52,4286,session_31095,account,,,tablet,Edge,1253
191,2023-12-28T01:07:44,,session_53350,checkout,,,tablet,Edge,1737
192,2020-04-06T21:54:54,,session_58380,account,,,mobile,Safari,1517
193,2023-10-14T22:43:54,,session_79850,cart,,,desktop,Samsung Internet,1747
194,2021-10-25T06:54:22,3448,session_89726,checkout,,,mobile,Firefox,1477
195,2021-05-29T13:28:37,,session_92723,account,,,desktop,Edge,1360
196,2022-09-18T06:12:10,2837,session_17279,home,,,mobile,Samsung Internet,1107
197,2024-05-19T07:15:11,2841,session_46500,account,,,mobile,Edge,763
198,2021-03-14T04:02:14,,session_37519,product_detail,56,1425,tablet,Edge,1056
199,2022-06-23T08:33:14,,session_20853,search,,,desktop,Firefox,1787
200,2022-07-09T13:47:29,,session_52347,product_detail,10,,mobile,Safari,360
201,2020-08-21T05:07:36,3163,session_92643,home,,,mobile,Samsung Internet,173
202,2023-07-12T00:08:36,3105,session_33558,product_detail,5,,desktop,Chrome,857
203,2024-03-24T07:13:54,,session_40395,account,,,mobile,Samsung Internet,302
204,2021-12-25T04:40:28,,session_90671,home,,,mobile,Edge,917
205,2024-08-18T14:59:30,,session_82331,category,,,desktop,Chrome,1391
206,2024-06-13T20:15:24,,session_43965,checkout,,,mobile,Chrome,1159
207,2023-11-22T15:42:36,3625,session_17441,checkout,,,mobile,Safari,1488
208,2023-05-19T14:42:17,1173,session_23360,product_detail,43,,tablet,Firefox,1484
209,2020-02-09T21:07:36,,session_17971,product_detail,39,722,mobile,Samsung Internet,412
210,2024-05-27T09:27:49,2761,session_16884,cart,,,mobile,Chrome,999
211,2024-12-26T04:37:24,317,session_24102,home,,,desktop,Samsung Internet,1178
212,2024-06-27T17:40:47,,session_57254,cart,,,tablet,Edge,1048
213,2023-05-09T17:24:06,214,session_18095,account,,,desktop,Samsung Internet,1474
214,2022-03-15T05:34:04,,session_37437,home,,,desktop,Edge,88
215,2021-12-20T07:24:25,,session_56562,product_detail,25,,tablet,Edge,1318
216,2023-03-02T01:45:23,,session_5690,product_detail,27,,mobile,Safari,1224
217,2023-04-29T00:58:53,4476,session_59703,account,,,mobile,Samsung Internet,1603
218,2024-03-15T11:28:09,,session_94259,account,,,mobile,Firefox,1441
219,2021-08-31T14:06:22,,session_47070,cart,,,tablet,Chrome,404
220,2023-06-13T13:35:22,1913,session_29308,search,,,tablet,Edge,789
221,2021-09-07T20:08:14,,session_2320,account,,,mobile,Samsung Internet,434
222,2021-09-19T10:00:21,,session_28407,product_detail,60,1243,mobile,Edge,774
223,2024-11-20T17:53:07,3123,session_8015,home,,,tablet,Edge,636
224,2024-05-04T13:32:43,4003,session_5279,account,,,mobile,Chrome,793
225,2024-06-22T02:31:36,782,session_15480,account,,,tablet,Safari,539
226,2021-11-01T15:27:45,,session_57439,category,,,,,1425
227,2021-09-20T12:17:23,,session_76203,home,,,desktop,Safari,1638
228,2023-05-11T07:19:17,2764,session_6972,category,,,tablet,Samsung Internet,1064
229,2024-06-02T11:46:24,3096,session_52337,account,,,tablet,Firefox,757
230,2024-02-14T01:15:55,,session_70349,home,,,mobile,Chrome,1591
231,2024-04-14T10:43:21,4768,session_6237,product_detail,2,,,,409
232,2022-10-08T04:24:22,,session_18973,search,,,desktop,Edge,1455
233,2022-05-16T08:52:26,2697,session_24685,cart,,,desktop,Safari,1608
234,2021-04-28T08:00:45,,session_6067,category,,,desktop,Firefox,1797
235,2023-09-21T11:18:24,,session_18772,home,,,desktop,Samsung Internet,1039
236,2021-01-18T05:39:59,,session_29276,cart,,,desktop,Safari,667
237,2021-01-20T20:52:08,,session_39029,search,,,mobile,Samsung Internet,80
238,2022-08-24T12:14:48,,session_87896,cart,,,tablet,Samsung Internet,1352
239,2023-07-25T00:14:06,2941,session_61334,home,,,tablet,Edge,1477
240,2023-10-09T21:39:43,4842,session_72468,search,,,tablet,Samsung Internet,829
241,2021-06-09T13:41:04,,session_5582,category,,,mobile,Edge,1202
242,2021-06-25T23:58:26,690,session_44481,search,,,tablet,Firefox,803
243,2024-05-21T22:09:20,2158,session_60600,checkout,,,tablet,Chrome,713
244,2020-03-22T07:26:56,,session_28117,home,,,tablet,Edge,64
245,2023-07-06T12:39:21,,session_65307,search,,,desktop,Safari,162
246,2023-04-17T14:59:23,,session_90833,search,,,tablet,Chrome,508
247,2022-06-03T03:44:27,,session_83343,category,,,mobile,Edge,648
248,2021-10-30T05:38:43,,session_83621,category,,,mobile,Edge,118
249,2023-08-23T13:40:20,3841,session_50798,search,,,tablet,Samsung Internet,1330
250,2022-08-09T20:08:28,,session_71462,search,,,tablet,Chrome,1480
251,2022-05-19T02:24:59,2386,session_6984,search,,,tablet,Chrome,1446
252,2023-02-03T07:23:56,2095,session_62379,checkout,,,desktop,Firefox,75
253,2023-09-08T08:44:46,,session_85477,category,,,mobile,Samsung Internet,1192
254,2030-01-01T00:00:00,,session_96768,checkout,,,desktop,Chrome,514
255,2021-11-30T19:49:04,,session_89511,cart,,,desktop,Chrome,899
256,2022-03-29T23:08:55,,session_19139,checkout,,,mobile,Safari,1079
257,2030-01-01T00:00:00,3283,session_8146,cart,,,desktop,Firefox,565
258,2024-11-30T22:37:14,,session_4821,checkout,,,desktop,Firefox,1273
259,2023-10-06T17:43:11,4070,session_9211,home,,,tablet,Samsung Internet,1301
260,2021-08-09T08:06:59,,session_47736,search,,,desktop,Firefox,1561
261,2020-03-28T06:43:52,,session_9525,search,,,mobile,Safari,1344
262,2024-10-02T17:53:04,,session_62865,home,,,desktop,Chrome,1137
263,2020-04-10T23:09:50,,session_27232,home,,,desktop,Chrome,1287
264,2024-10-27T00:54:06,419,session_5383,category,,,mobile,Firefox,830
265,2021-12-26T16:03:17,,session_33343,product_detail,48,,,,937
266,2022-08-29T11:43:00,,session_22293,account,,,tablet,Safari,1781
267,2021-06-13T13:18:56,,session_62244,search,,,tablet,Chrome,1312
268,2021-03-25T10:19:13,2375,session_53132,checkout,,,mobile,Safari,534
269,2020-10-27T21:16:21,,session_2317,search,,,mobile,Safari,1314
270,2022-01-13T18:31:07,4932,session_13941,home,,,,,1780
271,2024-08-01T02:56:27,4956,session_90231,checkout,,,tablet,Safari,1752
272,2024-10-31T01:07:23,,session_41942,checkout,,,desktop,Chrome,1392
273,2022-06-19T11:33:22,3833,session_15987,cart,,,desktop,Samsung Internet,1171
274,2023-08-28T21:37:43,2314,session_84233,product_detail,35,,desktop,Edge,564
275,2020-07-06T00:49:10,,session_21438,search,,,tablet,Edge,1503
276,2023-05-06T14:01:53,,session_51858,checkout,,,tablet,Chrome,767
277,2020-10-04T11:53:41,,session_42197,product_detail,58,,desktop,Safari,918
278,2030-01-01T00:00:00,1100,session_1871,account,,,tablet,Chrome,861
279,2022-12-21T14:56:44,,session_10451,cart,,,desktop,Safari,558
280,2020-03-24T15:01:47,,session_63141,product_detail,62,,tablet,Chrome,953
281,2021-08-18T15:45:22,,session_80442,category,,,mobile,Chrome,1636
282,2023-05-24T02:22:58,1141,session_5393,search,,,desktop,Samsung Internet,816
283,2024-09-18T23:49:33,,session_29686,checkout,,,desktop,Samsung Internet,1480
284,2023-07-09T13:38:31,3067,session_95625,category,,,tablet,Safari,1113
285,2020-12-06T19:31:46,,session_47925,cart,,,tablet,Chrome,1095
286,2023-02-24T18:44:49,,session_18716,search,,,tablet,Edge,-749
287,2022-03-04T10:49:45,,session_5275,search,,,mobile,Edge,410
288,2020-11-20T19:05:01,,session_12707,search,,,tablet,Firefox,641
289,2021-04-15T22:18:30,,session_30707,search,,,desktop,Samsung Internet,1098
290,2022-01-12T22:42:17,3530,session_25915,search,,,mobile,Firefox,794
291,2020-11-22T15:04:23,,session_37297,search,,,tablet,Edge,1557
292,2022-12-03T12:35:22,,session_19858,search,,,tablet,Samsung Internet,788
293,2022-07-07T01:02:45,,session_70816,cart,,,tablet,Samsung Internet,1132
294,2021-01-11T19:21:07,,session_28781,cart,,,mobile,Chrome,865
295,2021-01-08T20:43:18,,session_49644,account,,,mobile,Firefox,1735
296,2024-08-18T16:58:22,3916,session_1230,cart,,,desktop,Edge,1067
297,2030-01-01T00:00:00,,session_16085,home,,,desktop,Firefox,1673
298,2022-08-03T14:48:08,,session_77093,checkout,,,mobile,Samsung Internet,1364
299,2023-03-28T16:55:22,,session_23574,account,,,tablet,Firefox,1049
300,2022-07-31T22:40:15,,session_26640,search,,,desktop,Chrome,1063
301,2022-10-28T00:20:07,4070,session_60946,checkout,,,mobile,Safari,1425
302,2024-07-22T09:47:33,,session_54772,checkout,,,tablet,Edge,1792
303,2024-10-10T05:35:52,409,session_51623,account,,,tablet,Firefox,369
304,2023-05-31T22:51:13,,session_39455,home,,,mobile,Firefox,940
305,2023-02-22T07:12:47,,session_58771,category,,,mobile,Safari,166
306,2023-03-10T00:20:12,4575,session_78097,cart,,,tablet,Edge,320
307,2023-09-07T23:46:52,3697,session_13920,category,,,tablet,Edge,899
308,2022-02-26T01:36:28,,session_77838,product_detail,3,,tablet,Samsung Internet,757
309,2024-06-01T14:02:39,,session_63722,cart,,,tablet,Edge,631
310,2021-11-02T16:36:47,,session_64961,search,,,desktop,Firefox,116
311,2023-04-13T11:39:02,4101,session_46751,checkout,,,mobile,Firefox,1233
312,2024-10-09T19:54:16,1706,session_459,home,,,mobile,Edge,919
313,2021-06-17T20:26:04,,session_88407,category,,,tablet,Safari,422
314,2021-08-21T06:59:07,1115,session_99903,checkout,,,tablet,Samsung Internet,961
315,2024-04-28T03:48:13,74,session_76659,product_detail,45,,desktop,Safari,1101
316,2021-09-08T11:59:36,,session_63075,category,,,desktop,Edge,1416
317,2023-05-27T07:21:14,4543,session_99327,home,,,desktop,Chrome,517
318,2022-10-26T14:52:43,,session_89006,account,,,desktop,Firefox,1233
319,2023-07-27T18:32:14,3220,session_26995,cart,,,desktop,Safari,1759
320,2022-05-22T15:26:23,,session_71992,home,,,desktop,Safari,1010
321,2023-07-22T01:27:29,4560,session_1870,product_detail,60,384,desktop,Edge,1564
322,2020-09-06T16:35:33,4014,session_49008,category,,,mobile,Chrome,1688
323,2024-03-16T13:35:28,,session_12090,product_detail,56,1268,desktop,Edge,398
324,2023-09-12T01:41:12,,session_22896,account,,,desktop,Chrome,1444
325,2022-06-01T03:32:31,,session_4144,search,,,tablet,Firefox,753
326,2020-05-05T06:00:55,,session_12951,product_detail,25,,desktop,Samsung Internet,736
327,2020-03-09T00:53:32,,session_64821,search,,,desktop,Edge,1518
328,2024-02-18T04:26:31,1124,session_58964,category,,,desktop,Safari,895
329,2030-01-01T00:00:00,,session_92532,category,,,tablet,Samsung Internet,1066
330,2024-09-20T20:05:39,2027,session_32833,checkout,,,,,374
331,2022-11-11T04:58:33,,session_2971,checkout,,,desktop,Firefox,1341
332,2023-07-14T08:44:44,,session_52888,home,,,desktop,Samsung Internet,318
333,2030-01-01T00:00:00,,session_84275,search,,,mobile,Safari,1620
334,2022-12-10T20:39:32,,session_65454,category,,,desktop,Firefox,296
335,2021-08-12T11:13:56,,session_17518,cart,,,tablet,Samsung Internet,670
336,2023-12-10T10:26:28,213,session_81628,account,,,desktop,Safari,942
337,2021-08-17T16:30:58,,session_63721,checkout,,,mobile,Firefox,1115
338,2020-08-16T23:26:43,,session_38764,checkout,,,desktop,Firefox,771
339,2023-04-14T21:38:21,,session_72511,search,,,mobile,Safari,577
340,2021-10-06T22:56:06,,session_90847,home,,,desktop,Samsung Internet,96
341,2021-09-10T07:30:20,4646,session_57153,cart,,,tablet,Chrome,1364
342,2021-01-16T22:26:45,,session_50643,search,,,desktop,Chrome,163
343,2021-10-23T03:31:17,2524,session_77258,cart,,,tablet,Safari,616
344,2022-06-15T04:55:57,3780,session_63166,category,,,mobile,Firefox,334
345,2023-04-02T10:23:49,,session_2257,cart,,,mobile,Chrome,1318
346,2024-10-24T09:52:56,1926,session_72,category,,,tablet,Chrome,1022
347,2022-05-21T12:30:00,,session_60352,search,,,mobile,Chrome,-1469
348,2024-12-20T22:46:48,3363,session_50764,checkout,,,desktop,Chrome,1415
349,2023-02-08T09:11:25,,session_60391,search,,,tablet,Firefox,76
350,2023-07-08T08:17:59,2234,session_25306,category,,,mobile,Edge,1128
351,2021-06-30T16:14:38,,session_83955,checkout,,,mobile,Safari,1390
352,2021-05-28T03:18:11,,session_8249,home,,,desktop,Firefox,455
353,2020-05-27T20:43:42,,session_71547,search,,,tablet,Chrome,926
354,2021-11-27T13:03:37,,session_98308,home,,,tablet,Edge,1168
355,2021-08-17T04:47:46,,session_37121,cart,,,tablet,Safari,1680
356,2024-01-03T17:55:02,,session_30870,account,,,tablet,Edge,502
357,2021-03-23T21:14:43,,session_59398,product_detail,13,,desktop,Firefox,880
358,2020-01-02T21:07:56,,session_59673,checkout,,,mobile,Edge,540
359,2021-02-22T03:17:01,,session_42035,category,,,mobile,Firefox,557
360,2024-01-17T10:53:25,1381,session_13115,home,,,mobile,Firefox,1606
361,2021-01-02T13:51:57,,session_96030,search,,,tablet,Chrome,1739
362,2023-12-02T21:48:26,4788,session_15134,checkout,,,mobile,Firefox,284
363,2024-06-04T20:10:03,3795,session_6149,account,,,desktop,Edge,1788
364,2023-08-21T21:36:23,2836,session_42207,category,,,tablet,Safari,1237
365,2024-11-28T09:52:28,,session_76908,account,,,,,495
