campaign_id,campaign_name,campaign_type,platform,product_id,start_date,end_date,budget,actual_spend,impressions,clicks,created_at
78,Influencer - Facebook - Jan2022,Influencer,Facebook,23,2022-01-10,2022-03-10,60059,,23098720,1439606,2021-12-29T00:00:00
79,Influencer - Facebook - Jan2022,Influencer,Facebook,32,2022-01-10,2022-03-10,60059,,23098720,1439606,2022-01-02T00:00:00
80,Influencer - Facebook - Jan2022,Influencer,Facebook,19,2022-01-10,2022-03-10,60059,,23098720,1439606,2022-01-07T00:00:00
81,Influencer - Facebook - Jan2022,Influencer,Facebook,30,2022-01-10,2022-03-10,60059,,23098720,1439606,2022-01-07T00:00:00
82,Influencer - Facebook - Jan2022,Influencer,Facebook,50,2022-01-10,2022-03-10,60059,,23098720,1439606,2022-01-06T00:00:00
83,Display - TikTok - Sep2021,Display,TikTok,15,2021-09-04,2021-10-23,16680,12942.85,3129901,97874,2021-08-31T00:00:00
84,Display - TikTok - Sep2021,Display,TikTok,61,2021-09-04,2021-10-23,16680,12942.85,3129901,97874,2021-08-22T00:00:00
85,Display - TikTok - Sep2021,Display,TikTok,32,2021-09-04,2021-10-23,16680,12942.85,3129901,97874,2021-08-22T00:00:00
86,Display - TikTok - Sep2021,Display,TikTok,34,2021-09-04,2021-10-23,16680,12942.85,3129901,97874,2021-08-23T00:00:00
87,Display - TikTok - Sep2021,Display,TikTok,9,2021-09-04,2021-10-23,16680,12942.85,3129901,97874,2021-08-25T00:00:00
88,Video - Google - May2020,Video,Google,43,2020-05-13,2020-08-02,39445,43901.0,9353051,553908,2020-05-01T00:00:00
89,Video - Google - May2020,Video,Google,55,2020-05-13,2020-08-02,39445,43901.0,9353051,553908,2020-05-07T00:00:00
90,Video - Google - May2020,Video,Google,2,2020-05-13,2020-08-02,39445,43901.0,9353051,553908,2020-05-11T00:00:00
91,Video - Google - May2020,Video,Google,23,2020-05-13,2020-08-02,39445,43901.0,9353051,553908,2020-05-07T00:00:00
92,Video - Google - May2020,Video,Google,18,2020-05-13,2020-08-02,39445,43901.0,9353051,553908,2020-05-03T00:00:00
93,Video - Google - May2022,Video,Google,55,2022-05-16,2022-07-21,25808,,10237115,178857,2022-05-05T00:00:00
94,Video - Google - May2022,Video,Google,7,2022-05-16,2022-07-21,25808,,10237115,178857,2022-05-15T00:00:00
95,Video - Google - May2022,Video,Google,50,2022-05-16,2022-07-21,25808,,10237115,178857,2022-05-10T00:00:00
96,Search - Google - Jun2021,Search,Google,20,2021-06-27,2021-08-13,2278,2408.91,-915418,39544,2021-06-19T00:00:00
97,Search - Google - Jun2021,Search,Google,33,2021-06-27,2021-08-13,2278,2408.91,-915418,39544,2021-06-17T00:00:00
98,Search - Google - Jun2021,Search,Google,12,2021-06-27,2021-08-13,2278,2408.91,-915418,39544,2021-06-16T00:00:00
99,Search - Google - Jun2021,Search,Google,39,2021-06-27,2021-08-13,2278,2408.91,-915418,39544,2021-06-17T00:00:00
100,Influencer - Instagram - Jun2024,Influencer,Instagram,63,2024-06-30,2024-07-10,23174,23239.26,11422964,693818,2024-06-23T00:00:00
101,Influencer - Instagram - Jun2024,Influencer,Instagram,17,2024-06-30,2024-07-10,23174,23239.26,11422964,693818,2024-06-21T00:00:00
102,Video - LinkedIn - Oct2024,Video,LinkedIn,35,2024-10-23,2025-01-03,87803,101932.95,8615941,479139,2024-10-22T00:00:00
103,Video - LinkedIn - Oct2024,Video,LinkedIn,39,2024-10-23,2025-01-03,87803,101932.95,8615941,479139,2024-10-16T00:00:00
104,Video - LinkedIn - Oct2024,Video,LinkedIn,44,2024-10-23,2025-01-03,87803,101932.95,8615941,479139,2024-10-20T00:00:00
105,Influencer - TikTok - May2022,Influencer,TikTok,24,2022-05-27,2022-06-17,59002,58712.94,25082717,1804617,2022-05-20T00:00:00
106,Influencer - TikTok - Mar2024,Influencer,TikTok,37,2024-03-31,2024-05-28,5797,5319.93,2488938,29449,2024-03-22T00:00:00
107,Influencer - TikTok - Mar2024,Influencer,TikTok,47,2024-03-31,2024-05-28,5797,5319.93,2488938,29449,2024-03-25T00:00:00
108,Influencer - TikTok - Mar2024,Influencer,TikTok,63,2024-03-31,2024-05-28,5797,5319.93,2488938,29449,2024-03-22T00:00:00
109,Influencer - TikTok - Mar2024,Influencer,TikTok,15,2024-03-31,2024-05-28,5797,5319.93,2488938,29449,2024-03-28T00:00:00
110,Influencer - TikTok - Mar2024,Influencer,TikTok,8,2024-03-31,2024-05-28,5797,5319.93,2488938,29449,2024-03-18T00:00:00
111,Influencer - Twitter - Nov2020,Influencer,Twitter,37,2020-11-10,2020-12-11,24468,26225.21,4101029,323158,2020-11-09T00:00:00
112,Influencer - Twitter - Nov2020,Influencer,Twitter,21,2020-11-10,2020-12-11,24468,26225.21,4101029,323158,2020-10-28T00:00:00
113,Influencer - Twitter - Nov2020,Influencer,Twitter,61,2020-11-10,2020-12-11,24468,26225.21,4101029,323158,2020-11-07T00:00:00
114,Email - Google - Dec2020,Email,Google,44,2020-12-30,2021-01-11,1733,1680.89,625642,7078,2020-12-19T00:00:00
115,Display - Instagram - Aug2021,Display,Instagram,63,2021-08-19,2021-11-04,29725,27270.73,7419458,473483,2021-08-09T00:00:00
116,Display - Instagram - Aug2021,Display,Instagram,6,2021-08-19,2021-11-04,29725,27270.73,7419458,473483,2021-08-08T00:00:00
117,Email - Instagram - May2023,Email,Instagram,7,2023-05-10,2023-08-03,6833,4804.12,1817058,50801,2023-05-07T00:00:00
118,Email - Instagram - May2023,Email,Instagram,8,2023-05-10,2023-08-03,6833,4804.12,1817058,50801,2023-04-28T00:00:00
119,Email - Instagram - May2023,Email,Instagram,23,2023-05-10,2023-08-03,6833,4804.12,1817058,50801,2023-05-02T00:00:00
120,Email - Instagram - May2023,Email,Instagram,43,2023-05-10,2023-08-03,6833,4804.12,1817058,50801,2023-04-30T00:00:00
121,Display - YouTube - Jan2023,Display,YouTube,42,2023-01-21,2023-02-06,28361,21761.21,9269152,544958,2023-01-20T00:00:00
122,Display - YouTube - Jan2023,Display,YouTube,3,2023-01-21,2023-02-06,28361,21761.21,9269152,544958,2023-01-11T00:00:00
123,Display - YouTube - Jan2023,Display,YouTube,26,2023-01-21,2023-02-06,28361,21761.21,9269152,544958,2023-01-17T00:00:00
124,Display - YouTube - Jan2023,Display,YouTube,7,2023-01-21,2023-02-06,28361,21761.21,9269152,544958,2023-01-11T00:00:00
125,Display - YouTube - Jan2023,Display,YouTube,47,2023-01-21,2023-02-06,28361,21761.21,9269152,544958,2023-01-08T00:00:00
126,Display - Instagram - Jan2024,Display,Instagram,54,2024-01-23,2024-04-15,17690,16734.24,3078854,150620,2024-01-09T00:00:00
127,Display - Instagram - Jan2024,Display,Instagram,61,2024-01-23,2024-04-15,17690,16734.24,3078854,150620,2024-01-22T00:00:00
128,Social Media - Google - Dec2021,Social Media,Google,54,2021-12-28,2022-02-20,13757,16110.3,5784476,105782,2021-12-22T00:00:00
129,Social Media - Google - Dec2021,Social Media,Google,46,2021-12-28,2022-02-20,13757,16110.3,5784476,105782,2021-12-27T00:00:00
130,Social Media - Google - Dec2021,Social Media,Google,24,2021-12-28,2022-02-20,13757,16110.3,5784476,105782,2021-12-14T00:00:00
131,Social Media - Google - Dec2021,Social Media,Google,61,2021-12-28,2022-02-20,13757,16110.3,5784476,105782,2021-12-27T00:00:00
132,Social Media - Google - Dec2021,Social Media,Google,26,2021-12-28,2022-02-20,13757,16110.3,5784476,105782,2021-12-25T00:00:00
133,Search - LinkedIn - Oct2020,Search,LinkedIn,63,2020-10-04,2020-10-22,90377,96329.96,9851960,122141,2020-09-27T00:00:00
134,Search - LinkedIn - Oct2020,Search,LinkedIn,17,2020-10-04,2020-10-22,90377,96329.96,9851960,122141,2020-10-02T00:00:00
135,Search - LinkedIn - Oct2020,Search,LinkedIn,32,2020-10-04,2020-10-22,90377,96329.96,9851960,122141,2020-09-20T00:00:00
136,Search - LinkedIn - Oct2020,Search,LinkedIn,48,2020-10-04,2020-10-22,90377,96329.96,9851960,122141,2020-09-22T00:00:00
137,Search - LinkedIn - Oct2020,Search,LinkedIn,56,2020-10-04,2020-10-22,90377,96329.96,9851960,122141,2020-09-21T00:00:00
138,Search - TikTok - Feb2024,Search,TikTok,12,2024-02-23,2024-03-19,19846,19635.2,9765950,358502,2024-02-21T00:00:00
139,Influencer - Twitter - Apr2020,Influencer,Twitter,38,2020-04-25,2020-06-13,53940,44681.2,18125417,399631,2020-04-19T00:00:00
140,Influencer - Twitter - Apr2020,Influencer,Twitter,40,2020-04-25,2020-06-13,53940,44681.2,18125417,399631,2020-04-13T00:00:00
141,Influencer - Twitter - Apr2020,Influencer,Twitter,59,2020-04-25,2020-06-13,53940,44681.2,18125417,399631,2020-04-22T00:00:00
142,Email - YouTube - May2022,Email,YouTube,28,2022-05-11,2022-08-08,7811,9200.47,1614876,118224,2022-04-27T00:00:00
143,Email - YouTube - May2022,Email,YouTube,51,2022-05-11,2022-08-08,7811,9200.47,1614876,118224,2022-05-09T00:00:00
144,Email - YouTube - May2022,Email,YouTube,24,2022-05-11,2022-08-08,7811,9200.47,1614876,118224,2022-05-06T00:00:00
145,Email - YouTube - May2022,Email,YouTube,13,2022-05-11,2022-08-08,7811,9200.47,1614876,118224,2022-05-06T00:00:00
146,Video - Instagram - Jul2024,Video,Instagram,22,2024-07-20,2024-09-06,77775,85712.28,16584865,247404,2024-07-17T00:00:00
147,Video - TikTok - Nov2023,Video,TikTok,2,2023-11-16,2023-11-28,66404,71054.11,29348503,1566353,2023-11-14T00:00:00
148,Video - TikTok - Nov2023,Video,TikTok,10,2023-11-16,2023-11-28,66404,71054.11,29348503,1566353,2023-11-04T00:00:00
149,Video - TikTok - Nov2023,Video,TikTok,35,2023-11-16,2023-11-28,66404,71054.11,29348503,1566353,2023-11-06T00:00:00
150,Video - LinkedIn - May2024,Video,LinkedIn,23,2024-05-08,2024-06-05,139168,127208.8,33691161,1878036,2024-04-29T00:00:00
151,Video - LinkedIn - May2024,Video,LinkedIn,21,2024-05-08,2024-06-05,139168,127208.8,33691161,1878036,2024-05-04T00:00:00
152,Email - YouTube - Nov2022,Email,YouTube,27,2022-11-11,2023-01-03,6447,6764.2,2331833,83301,2022-11-07T00:00:00
153,Email - YouTube - Nov2022,Email,YouTube,8,2022-11-11,2023-01-03,6447,6764.2,2331833,83301,2022-10-28T00:00:00
154,Email - YouTube - Nov2022,Email,YouTube,60,2022-11-11,2023-01-03,6447,6764.2,2331833,83301,2022-11-06T00:00:00
155,Search - Twitter - Oct2020,Search,Twitter,9,2020-10-01,2020-11-26,38910,30489.41,2570143,104863,2020-09-17T00:00:00
156,Search - Twitter - Oct2020,Search,Twitter,27,2020-10-01,2020-11-26,38910,30489.41,2570143,104863,2020-09-18T00:00:00
157,Search - Twitter - Oct2020,Search,Twitter,50,2020-10-01,2020-11-26,38910,30489.41,2570143,104863,2020-09-23T00:00:00
158,Search - Twitter - Oct2020,Search,Twitter,33,2020-10-01,2020-11-26,38910,30489.41,2570143,104863,2020-09-17T00:00:00
159,Search - Twitter - Oct2020,Search,Twitter,23,2020-10-01,2020-11-26,38910,30489.41,2570143,104863,2020-09-17T00:00:00
160,Video - TikTok - May2021,Video,TikTok,34,2021-05-06,2021-06-02,50102,54087.09,23931826,414573,2021-04-23T00:00:00
161,Video - TikTok - May2021,Video,TikTok,49,2021-05-06,2021-06-02,50102,54087.09,23931826,414573,2021-05-05T00:00:00
162,Display - YouTube - Jun2023,Display,YouTube,2,2023-06-06,2023-08-19,9741,9743.7,2673614,137222,2023-06-04T00:00:00
163,Display - Instagram - May2024,Display,Instagram,9,2024-05-22,2024-08-04,7226,6123.15,620189,25028,2024-05-20T00:00:00
164,Display - Instagram - May2024,Display,Instagram,19,2024-05-22,2024-08-04,7226,6123.15,620189,25028,2024-05-09T00:00:00
165,Display - Instagram - May2024,Display,Instagram,54,2024-05-22,2024-08-04,7226,6123.15,620189,25028,2024-05-20T00:00:00
166,Display - Instagram - May2024,Display,Instagram,36,2024-05-22,2024-08-04,7226,6123.15,620189,25028,2024-05-13T00:00:00
167,Display - Instagram - May2024,Display,Instagram,57,2024-05-22,2024-08-04,7226,6123.15,620189,25028,2024-05-16T00:00:00
168,Display - Twitter - Aug2024,Display,Twitter,34,2024-08-20,2024-11-01,2295,1705.88,805902,56435,2024-08-14T00:00:00
169,Display - Twitter - Aug2024,Display,Twitter,63,2024-08-20,2024-11-01,2295,1705.88,805902,56435,2024-08-15T00:00:00
170,Display - Twitter - Aug2024,Display,Twitter,28,2024-08-20,2024-11-01,2295,1705.88,805902,56435,2024-08-16T00:00:00
171,Search - LinkedIn - Aug2020,Search,LinkedIn,7,2020-08-06,2020-09-12,38817,30639.87,7726014,602131,2020-08-01T00:00:00
172,Search - LinkedIn - Aug2020,Search,LinkedIn,14,2020-08-06,2020-09-12,38817,30639.87,7726014,602131,2020-08-04T00:00:00
173,Social Media - Facebook - Mar2021,Social Media,Facebook,3,2021-03-09,2021-05-11,47457,39666.04,18487897,1405406,2021-03-03T00:00:00
174,Social Media - Facebook - Mar2021,Social Media,Facebook,8,2021-03-09,2021-05-11,47457,39666.04,18487897,1405406,2021-02-25T00:00:00
175,Video - TikTok - Sep2021,Video,TikTok,10,2021-09-09,2021-10-24,105820,111933.93,15883419,803132,2021-09-03T00:00:00
176,Video - TikTok - Sep2021,Video,TikTok,34,2021-09-09,2021-10-24,105820,111933.93,15883419,803132,2021-08-26T00:00:00
177,Video - TikTok - Sep2021,Video,TikTok,59,2021-09-09,2021-10-24,105820,111933.93,15883419,803132,2021-09-06T00:00:00
178,Video - TikTok - Sep2021,Video,TikTok,46,2021-09-09,2021-10-24,105820,111933.93,15883419,803132,2021-08-28T00:00:00
179,Video - TikTok - Sep2021,Video,TikTok,16,2021-09-09,2021-10-24,105820,111933.93,15883419,803132,2021-09-03T00:00:00
180,Video - LinkedIn - Apr2023,Video,LinkedIn,58,2023-04-27,2023-07-07,44732,39217.33,11742530,123386,2023-04-21T00:00:00
181,Video - LinkedIn - Apr2023,Video,LinkedIn,40,2023-04-27,2023-07-07,44732,39217.33,11742530,123386,2023-04-25T00:00:00
182,Email - Twitter - Oct2023,Email,Twitter,51,2023-10-13,2023-12-05,8415,6649.69,3131207,236114,2023-10-12T00:00:00
183,Video - Instagram - Jun2023,Video,Instagram,49,2023-06-21,2023-08-30,112357,82653.85,28855079,2242790,2023-06-10T00:00:00
184,Video - Instagram - Jun2023,Video,Instagram,53,2023-06-21,2023-08-30,112357,82653.85,28855079,2242790,2023-06-16T00:00:00
185,Video - Instagram - Jun2023,Video,Instagram,27,2023-06-21,2023-08-30,112357,82653.85,28855079,2242790,2023-06-12T00:00:00
186,Video - Instagram - Jun2023,Video,Instagram,30,2023-06-21,2023-08-30,112357,82653.85,28855079,2242790,2023-06-17T00:00:00
187,Social Media - TikTok - Feb2021,Social Media,TikTok,30,2021-02-23,2021-04-17,48281,51857.52,20708591,1146523,2021-02-14T00:00:00
188,Social Media - TikTok - Feb2021,Social Media,TikTok,3,2021-02-23,2021-04-17,48281,51857.52,20708591,1146523,2021-02-09T00:00:00
189,Social Media - TikTok - Feb2021,Social Media,TikTok,58,2021-02-23,2021-04-17,48281,51857.52,20708591,1146523,2021-02-13T00:00:00
190,Social Media - TikTok - Feb2021,Social Media,TikTok,61,2021-02-23,2021-04-17,48281,51857.52,20708591,1146523,2021-02-21T00:00:00
191,Influencer - TikTok - May2024,Influencer,TikTok,40,2024-05-12,2024-05-25,8016,8314.78,3532696,43439,2024-05-02T00:00:00
192,Influencer - TikTok - May2024,Influencer,TikTok,6,2024-05-12,2024-05-25,8016,8314.78,3532696,43439,2024-04-29T00:00:00
193,Influencer - TikTok - May2024,Influencer,TikTok,32,2024-05-12,2024-05-25,8016,8314.78,3532696,43439,2024-05-05T00:00:00
194,Influencer - TikTok - May2024,Influencer,TikTok,26,2024-05-12,2024-05-25,8016,8314.78,3532696,43439,2024-05-07T00:00:00
195,Email - LinkedIn - Apr2023,Email,LinkedIn,20,2023-04-13,2023-05-07,3201,,1165046,79778,2023-04-01T00:00:00
196,Email - LinkedIn - Apr2023,Email,LinkedIn,3,2023-04-13,2023-05-07,3201,,1165046,79778,2023-04-02T00:00:00
197,Email - LinkedIn - Apr2023,Email,LinkedIn,46,2023-04-13,2023-05-07,3201,,1165046,79778,2023-04-08T00:00:00
198,Email - LinkedIn - Apr2023,Email,LinkedIn,13,2023-04-13,2023-05-07,3201,,1165046,79778,2023-03-31T00:00:00
199,Display - Twitter - Feb2021,Display,Twitter,44,2021-02-01,2021-03-17,26845,23937.13,7559729,300936,2021-01-23T00:00:00
200,Display - Twitter - Feb2021,Display,Twitter,35,2021-02-01,2021-03-17,26845,23937.13,7559729,300936,2021-01-28T00:00:00
201,Display - Twitter - Feb2021,Display,Twitter,16,2021-02-01,2021-03-17,26845,23937.13,7559729,300936,2021-01-19T00:00:00
202,Display - Twitter - Feb2021,Display,Twitter,15,2021-02-01,2021-03-17,26845,23937.13,7559729,300936,2021-01-30T00:00:00
